sample_fp	plate	well	tile	cycle
/Users/vaishnaviphadnis/sbs-test-data/c1/P01_A01_f001.nd2	1	A01	1	1
/Users/vaishnaviphadnis/sbs-test-data/c2/P01_A01_f001.nd2	1	A01	1	2
/Users/vaishnaviphadnis/sbs-test-data/c3/P01_A01_f001.nd2	1	A01	1	3
/Users/vaishnaviphadnis/sbs-test-data/c4/P01_A01_f001.nd2	1	A01	1	4
/Users/vaishnaviphadnis/sbs-test-data/c1/P01_A01_f002.nd2	1	A01	2	1
/Users/vaishnaviphadnis/sbs-test-data/c2/P01_A01_f002.nd2	1	A01	2	2
/Users/vaishnaviphadnis/sbs-test-data/c3/P01_A01_f002.nd2	1	A01	2	3
/Users/vaishnaviphadnis/sbs-test-data/c4/P01_A01_f002.nd2	1	A01	2	4
/Users/vaishnaviphadnis/sbs-test-data/c1/P01_A01_f003.nd2	1	A01	3	1
/Users/vaishnaviphadnis/sbs-test-data/c2/P01_A01_f003.nd2	1	A01	3	2
/Users/vaishnaviphadnis/sbs-test-data/c3/P01_A01_f003.nd2	1	A01	3	3
/Users/vaishnaviphadnis/sbs-test-data/c4/P01_A01_f003.nd2	1	A01	3	4
/Users/vaishnaviphadnis/sbs-test-data/c1/P01_A01_f004.nd2	1	A01	4	1
/Users/vaishnaviphadnis/sbs-test-data/c2/P01_A01_f004.nd2	1	A01	4	2
/Users/vaishnaviphadnis/sbs-test-data/c3/P01_A01_f004.nd2	1	A01	4	3
/Users/vaishnaviphadnis/sbs-test-data/c4/P01_A01_f004.nd2	1	A01	4	4
